,fluxes,reduced_costs
EX_h2o_e,13.932967310100116,0.0
EX_o2_e,-3.8020876221074675,0.0
EX_co2_e,5.988157232486243,0.0
EX_leu__L_e,0.0,-0.5028304073310405
EX_cobalt2_e,-1.109807057630325e-06,-2.4570765632390788e-11
EX_zn2_e,-1.5905825247158872e-07,2.668786025049233e-11
EX_so4_e,-0.022423327922606755,0.0
EX_spmd_e,0.0,-0.7749109189108359
EX_ca2_e,-2.5217419588612456e-06,0.0
EX_nh4_e,-5.0,-0.037060293897920295
EX_arg__L_e,0.0,-0.49139204501686645
EX_gln__L_e,0.0,-0.3559618352170582
EX_mn2_e,-3.8058633067835265e-08,6.735486952932485e-10
EX_hco3_e,0.0,0.0
EX_mg2_e,-0.0026861659758291496,0.0
EX_ptrc_e,0.0,-0.41727145722102593
EX_fe2_e,0.0,-0.024249328106046967
EX_cu2_e,-6.524301465866887e-09,0.0
EX_k_e,-3.3443826885048163e-07,-1.8149979534832725e-11
EX_no3_e,0.0,0.0
EX_fe3_e,-0.008249701877230637,0.0
EX_mobd_e,0.0,0.0
EX_ni2_e,0.0,0.0
EX_na1_e,-2.572602068080629e-08,2.4541960576363404e-09
EX_cynt_e,0.0,0.0
EX_h_e,0.0,-1.0742751471939115e-16
FE3tex,0.008249701877230635,0.0
FE2tex,0.0,0.0
NI2tex,0.0,0.0
MNtex,3.8058633067835265e-08,0.0
COBALT2tex,1.1098070576303253e-06,7.527252958850236e-12
CU2tex,6.524301465866887e-09,0.0
Zn2tex,1.5905825247158872e-07,0.0
SPMDtex,0.0,0.0
LEUtex,0.0,0.0
HCO3tex,0.0,0.0
GLNtex,0.0,0.0
CYNTtex,0.0,0.0
ARGtex,0.0,0.0
MOBDtex,0.0,0.0
NH4tex,4.999999999999995,0.0
SO4tex,0.0,-1.2575750220784423e-17
PTRCtex,0.0,0.0
NO3tex,0.0,0.0
NAtex,2.572602068080629e-08,3.450632427082713e-09
CA2tex,0.0,0.0
Ktex,0.0,7.878455911743013e-11
CO2tpp,-1.0275782564697646,-0.0
EX_pi_e,0.0788370168157511,0.0
PItex,0.0,-0.0
MDRPD,1.8934351221073433e-05,0.0
ENOPH,0.0,-0.04941372519722736
ARD,0.0,1.5612511283791264e-17
UNK3,1.893435122107343e-05,0.0
PHYPQOX,0.0,-7.247346362259988
ZISO,0.0,0.0
ZCARDS,0.0,-1.700029006457271e-16
PLYCOI,0.0,2.220446049250313e-16
TRNFE,0.00404100983721657,0.0
PTHPS,0.00038622474848094477,-5.551115123125783e-17
SPR,0.00038622474848094477,-2.220446049250313e-16
CYSDES,5.479642405011739e-06,0.0
THISAT,5.479642405011737e-06,0.0
THII,5.479642405011739e-06,-1.1102230246251565e-16
GLYCOX1,5.479642405011739e-06,1.3877787807814457e-17
DXYTST,5.479642405011739e-06,8.326672684688674e-17
THZT,5.479642405011739e-06,0.0
SHS1,5.479642405011739e-06,4.440892098500626e-16
MALCOAMT,2.013477617400014e-05,1.1102230246251565e-16
OGMEACPS,2.0134776174000134e-05,-2.7755575615628914e-17
OGMEACPR,2.0134776174000137e-05,0.0
OGMEACPD,2.0134776174000137e-05,0.0
EGMEACPR,2.0134776174000137e-05,-1.1102230246251565e-16
OPMEACPS,2.013477617400014e-05,2.7755575615628914e-16
OPMEACPR,2.013477617400014e-05,0.0
OPMEACPD,2.013477617400014e-05,0.0
EPMEACPR,2.013477617400014e-05,0.0
PMEACPE,2.0134776174000144e-05,1.734723475976807e-18
AOXSr2,2.0134776174000144e-05,2.7601888923854463e-17
AMAOTr,2.0134776174000144e-05,0.0
DBTS,2.013477617400014e-05,-5.730854510282007e-17
BTS6,0.0,-0.3699928929891174
BACCL,5.6597245497773825e-06,-2.7755575615628914e-16
LIPOCT,5.6597245497773825e-06,0.0
LIPOS2,0.0,4.245595492750523e-16
MEOHtrpp,0.0,0.0
MEOHtex,0.0,0.0
DM_amob_c,2.0134776174000147e-05,0.0
ADNK1,0.009011716468975315,-5.551115123125783e-17
CDGS,0.0,4.85722573273506e-17
CCGS,0.0,-1.7973938715622457e-18
CDGR,0.0,0.0
QUERT,0.0,0.0
SAMTRI,0.0,-1.008558533115016
EPXQR,0.0,-0.024706862598613717
UDPGD,0.0,3.3306690738754696e-16
GMAND,0.0,-0.7674480926146602
GFUCS,0.0,0.0
NDH_1_1_um_copy2,0.0,-2.7755575615628914e-17
NDH_1_4_um_copy2,0.0,-2.7755575615628914e-17
KAS15,0.0,1.383084842635559e-16
AACPS6,0.0,-0.00594794840337097
ALDR18,0.0,0.0
ALDDC17,0.0,-1.637515948896995
G3PAT160,0.0,-0.02379179361348037
G3PAT161,0.0,-0.11072334720119406
G3PAT1819Z_1,0.0,-1.8452366085223766
AGPAT160,0.0,1.1102230246251565e-16
AGPATACP_HDE_PALM,0.0,-2.966653649803889
AGPAT161,0.0,5.551115123125783e-17
AGPATACP_OLE_HDE,0.0,-1.4348281686898505
AGPATACP_OLE_PALM,0.0,-1.4101213060912365
PAPA160,0.0,-0.011895896806740238
PAPA_HDE_PALM,0.0,6.162975822039155e-33
PAPA161,0.0,-0.01189589680674028
PAPA_OLE_HDE,0.0,1.232595164407831e-32
PAPA_OLE_PALM,0.0,6.162975822039155e-33
