,fluxes,reduced_costs
NADTRHD,0.0,0.0
DHNCOAT,0.0,0.0
BIOMASS_PROTEIN,0.0,2.999146075994339e-16
3OAS100,0.0,0.0
G1SAT,0.0,0.0
ILETA,0.0,-0.0
UAAGDS,0.0,0.0
ATPSum,0.0,-0.0
CHPHYS,0.0,0.0
BCAROHX,0.0,0.0
GLYCLTDx,0.0,-0.0
PIuabcpp,0.0,0.0
PC20M,0.0,0.0
ADSS,0.0,4.930380657631324e-32
BIOMASS_RNA,0.0,0.0
DM_dialurate_c,0.0,0.0
ACGS,0.0,3.5211820014773226e-32
AFAT,0.0,0.0
GLYOX_1,0.0,-0.0
EAR140y,0.0,0.0
FRTT,0.0,0.0
CTPS2,0.0,8.686236886351605e-16
CO2tex,0.0,-0.0
GTHS,0.0,-5.921785977500769e-16
UAGDP,0.0,0.0
DADK,0.0,-0.0
MPOMC1_1,0.0,0.0
3OAS180,0.0,0.0
EAR80y,0.0,0.0
ERTHMMOR,0.0,0.0
PDH,0.0,0.0
MPML,0.0,0.0
USHD2,0.0,0.0
TPI,0.0,0.0
DHPPDA,0.0,0.0
PRMICI,0.0,0.0
CYTBD4um,0.0,0.0
DM_co_c,0.0,-1.0509402057303381e-15
CAT,0.0,0.0
GLUR,0.0,0.0
ALAR,0.0,0.0
NAt3pp,0.0,0.0
UGMDDS,0.0,5.806003205230737e-16
BIOMASS_CARB,0.0,0.0
ICDHyr,0.0,1.3549504054443744e-15
MTRI,0.0,0.0
SPMS,0.0,9.860761315262648e-32
AHSERL2_1,0.0,1.9721522630525295e-31
PEPC,0.0,0.0
PHETA1,0.0,0.0
CHORM,0.0,0.0
GAPD,0.0,0.0
PQH2tcm,0.0,0.0
CPPPGO,0.0,0.0
URIDK2r,0.0,-0.0
OCBT,0.0,0.0
E4PD,0.0,0.0
GLGC,0.0,0.0
PYK,0.0,0.0
3HAD120,0.0,-0.0
2PGLYCtcx,0.0,0.0
MPOMOR_1,0.0,0.0
3OAS160,0.0,0.0
IG3PS,0.0,0.0
DM_5drib_c,0.0,0.0
RPI,0.0,-0.0
FMNRy_1,0.0,1.8804205083095435e-15
ANS2,0.0,0.0
GHMT2r,0.0,1.2582337940707659e-15
CBFCum,0.0,0.0
SK_amylose_c,0.0,0.0
SK_14glucan_c,0.0,0.0
SK_glycogen_c,0.0,-0.0
EX_h2o_e,0.0,0.0
EX_o2_e,0.0,-0.0
EX_co2_e,0.0,0.0
EX_leu__L_e,0.0,-8.193408430933992
EX_cobalt2_e,0.0,0.0
EX_zn2_e,0.0,0.0
EX_so4_e,0.0,0.0
EX_spmd_e,0.0,0.0
EX_ca2_e,0.0,0.0
EX_nh4_e,0.0,0.0
EX_arg__L_e,0.0,1.7372473772703218e-15
EX_gln__L_e,0.0,0.0
EX_mn2_e,0.0,0.0
EX_hco3_e,0.0,0.0
EX_mg2_e,0.0,0.0
EX_ptrc_e,0.0,1.7372473772703216e-15
