,ids,growth,status
325,{'GLYCTO4'},0.7097712093955247,optimal
326,{'3OAS100'},0.7097712093955247,optimal
327,{'DHEDAA'},0.7097712093955247,optimal
328,{'PACCOAL3'},0.7097712093955247,optimal
329,{'MCTP1App'},-1.1910298716727117e-14,optimal
330,{'PLIPA1E120pp'},0.70977120939508,optimal
331,{'DSBDR'},0.7097712093954668,optimal
332,{'NDH1_3u'},0.7097712093954668,optimal
333,{'EAR100x'},0.7097712093954668,optimal
334,{'PC6YM'},0.7097712093954668,optimal
335,{'PHAPC140'},0.7097712093950483,optimal
336,{'DVOCHR'},0.7095226828193247,optimal
337,{'ACYP_2'},0.7097712093952617,optimal
338,{'G3PAT183_9_12_15'},0.7097712093950483,optimal
339,{'ACONMT'},0.7097712093950483,optimal
340,{'ALDD3y'},0.7097712093950483,optimal
341,{'IMPD'},1.1910298716727114e-14,optimal
342,{'AICART'},1.9441010213578096e-13,optimal
343,{'COUCOAtex'},0.7097712093944878,optimal
344,{'PA180abcpp'},0.709771209395245,optimal
345,{'PA120abcpp'},0.709771209395245,optimal
346,{'PYK3'},0.709771209395245,optimal
347,{'NNATr'},-3.689297353211633e-10,optimal
348,{'14GLUCANabcpp'},0.7097712093951027,optimal
349,{'PHEMEabcpp'},0.7097712093953342,optimal
350,{'EX_photon530_e'},0.7097712093953342,optimal
351,{'TDSK'},0.7097712093953342,optimal
352,{'2EHP2NOX'},0.7097712093953342,optimal
353,{'ASAD'},-2.233181009386334e-15,optimal
354,{'GMPS'},0.7081077639931976,optimal
355,{'LPLIPAL1A140pp'},0.7097712093950094,optimal
356,{'KARI_1'},0.7097712093950465,optimal
357,{'4ABZGLUH'},0.7097712093950465,optimal
358,{'GTHPi'},0.7097712093950465,optimal
359,{'EX_photon490_e'},0.7097712093950465,optimal
360,{'LYStex'},0.7097712093950465,optimal
361,{'EX_arg__L_e'},0.7097712093950465,optimal
362,{'ZN2abcpp'},0.7097712093950465,optimal
363,{'NAR_syn'},0.7097712093950465,optimal
364,{'PGP140abcpp'},0.7097712093950465,optimal
365,{'PSD180'},0.7097712093950465,optimal
366,{'DASYN180'},0.7097712093950465,optimal
367,{'N2trpp'},-5.531530613987397e-14,optimal
368,{'PHOA690um'},0.016767709381974007,optimal
369,{'EX_bz_e'},0.709771209395243,optimal
370,{'NTPP10'},0.7097712093952308,optimal
371,{'3OAR181'},0.7097712093952308,optimal
372,{'GLUSx'},0.7097712093952308,optimal
373,{'NADH5'},0.7097712093952308,optimal
374,{'MLDCP3App'},0.7097712093952308,optimal
375,{'ACOXT'},0.7097712093952308,optimal
376,{'LPLIPAL2A140'},0.7097712093952308,optimal
377,{'3OAS140'},0.7097712093952308,optimal
378,{'ARGN'},0.7097712093952308,optimal
379,{'2EDPOX'},0.7097712093952308,optimal
380,{'SERD_L'},0.7097712093952308,optimal
381,{'ASO3t4pp'},0.7097712093952308,optimal
382,{'PPKr'},0.7097712093952308,optimal
383,{'EX_photon590_e'},0.7097712093952308,optimal
384,{'THFGLUS'},0.7097712093952308,optimal
385,{'NTPP8'},0.7097712093952308,optimal
386,{'NDH_1_1_um_copy2'},0.7097712093952308,optimal
387,{'BTS4'},0.7097712093952308,optimal
388,{'DHAtex'},0.7097712093952308,optimal
389,{'USHD2'},0.7097712093952308,optimal
