compartment,formula,member_count,metabolite_ids,metabolite_id_name_pairs,new
c,C7H8N5O8P2,2,2ahhmd_c | 6hmhptpp_c,2ahhmd_c:2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine diphosphate C7H8N5O8P2 | 6hmhptpp_c:6-hydroxymethyl-dihydropterin pyrophosphate,
c,C7H8O6,2,24dhhed_c | 4h2kpi_c,"24dhhed_c:2,4-Dihydroxyhept-2-enedioate | 4h2kpi_c:4-Hydroxy-2-ketopimelate",
c,C7H9N5O2,2,2ahhmp_c | 6hmhpt_c,2ahhmp_c:2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2 | 6hmhpt_c:6-hydroxymethyl dihydropterin,
c,C8H13N2O5,3,LalaDglu_c | LalaLglu_c | gluala_c,LalaDglu_c:L-alanine-D-glutamate | LalaLglu_c:L-alanine-L-glutamate | gluala_c:5 L Glutamyl L alanine C8H13N2O5,
c,C8H14NO9P,3,acgam1p_c | acgam6p_c | acmanap_c,acgam1p_c:N-Acetyl-D-glucosamine 1-phosphate | acgam6p_c:N-Acetyl-D-glucosamine 6-phosphate | acmanap_c:N-Acetyl-D-mannosamine 6-phosphate,
c,C8H15NO6,2,acgam_c | acmana_c,acgam_c:N-Acetyl-D-glucosamine | acmana_c:N-Acetyl-D-mannosamine,
c,C8H5O7,2,5cmhm_c | 5cohe_c,5cmhm_c:5-Carboxymethyl-2-hydroxymuconate | 5cohe_c:5-Carboxy-2-oxohept-3-enedioate,
c,C8H6O6,2,4fumacac_c | 4mlacac_c,4fumacac_c:4 Fumarylacetoacetate C8H6O6 | 4mlacac_c:4 Maleylacetoacetate C8H6O6,
c,C8H7O4,2,hgentis_c | vanlt_c,hgentis_c:Homogentisate C8H7O4 | vanlt_c:Vanillate,
c,C8H8O3,3,3hoxpac_c | mand_c | vanln_c,3hoxpac_c:3 Hydroxyphenylacetic acid C8H8O3 | mand_c:Mandelate | vanln_c:Vanillin,
