reaction_id,vmax_multiplier,vmax_label,quantity,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width
GAPD,1,Vmax 1x,flux,0,5.81745,0,5.81745
TKT1,1,Vmax 1x,flux,-0.263748,-0.150944,-0.167715,0.112804
TKT2,1,Vmax 1x,flux,-0.282583,-0.154888,-0.172098,0.127696
TALA,1,Vmax 1x,flux,-0.263748,-0.0648625,-0.167715,0.198885
SBP,1,Vmax 1x,flux,0,0.0860814,0,0.0860814
FBP,1,Vmax 1x,flux,0,0.865489,0,0.865489
TPI,1,Vmax 1x,flux,-0.837103,7.05709,-0.359396,7.89419
PGM,1,Vmax 1x,flux,-0.0140106,0.007361,-0.0140106,0.0213717
ENO,1,Vmax 1x,flux,-0.007361,0.0140106,0.0140106,0.0213717
PYK,1,Vmax 1x,flux,0,0,0,0
CS,1,Vmax 1x,flux,0.0110325,0.122259,0.0122584,0.111227
ACONT,1,Vmax 1x,flux,0.0110325,0.122259,0.0122584,0.111227
ICDHyr,1,Vmax 1x,flux,0.0110325,0.0851838,0.0122584,0.0741513
AKGDH,1,Vmax 1x,flux,0,0.0238071,0,0.0238071
SUCOAS,1,Vmax 1x,flux,0,0.00577661,7.80522e-05,0.00577661
SUCDi,1,Vmax 1x,flux,0,0.825015,0,0.825015
FUM,1,Vmax 1x,flux,-0.0927728,0.0184541,0.00598158,0.111227
MDH,1,Vmax 1x,flux,-0.0956767,0.0155502,0.00598158,0.111227
ME2,1,Vmax 1x,flux,0,0.00290389,0,0.00290389
BIOMASS__1,2,Vmax 2x,flux,0.0212806,0.0236451,0.0236451,0.00236451
EX_for_e,2,Vmax 2x,positive uptake,0.959922,3.56987,3.3584,2.60995
FDH,2,Vmax 2x,flux,0.953914,3.56387,3.35173,2.60995
RBPCcx,2,Vmax 2x,flux,0.45196,0.750913,0.738836,0.298953
RPE,2,Vmax 2x,flux,-0.531439,-0.305832,-0.497585,0.225607
FBA,2,Vmax 2x,flux,-0.865489,7.00065,-0.517162,7.86614
FBA3,2,Vmax 2x,flux,-0.0860814,0.0578823,0,0.143964
PGK,2,Vmax 2x,flux,0,10.7379,0,10.7379
GAPD,2,Vmax 2x,flux,0,5.81745,0,5.81745
TKT1,2,Vmax 2x,flux,-0.263748,-0.150944,-0.246601,0.112804
TKT2,2,Vmax 2x,flux,-0.282583,-0.154888,-0.250984,0.127696
TALA,2,Vmax 2x,flux,-0.263748,-0.0648625,-0.246601,0.198885
SBP,2,Vmax 2x,flux,0,0.0860814,0,0.0860814
FBP,2,Vmax 2x,flux,0,0.865489,0.517162,0.865489
TPI,2,Vmax 2x,flux,-0.837103,7.05709,0.774231,7.89419
PGM,2,Vmax 2x,flux,-0.0140106,0.007361,-0.0140106,0.0213717
ENO,2,Vmax 2x,flux,-0.007361,0.0140106,0.0140106,0.0213717
PYK,2,Vmax 2x,flux,0,0,0,0
CS,2,Vmax 2x,flux,0.0110325,0.122259,0.0247309,0.111227
ACONT,2,Vmax 2x,flux,0.0110325,0.122259,0.0247309,0.111227
ICDHyr,2,Vmax 2x,flux,0.0110325,0.0851838,0.0247309,0.0741513
AKGDH,2,Vmax 2x,flux,0,0.0238071,0.0124721,0.0238071
SUCOAS,2,Vmax 2x,flux,-0.074081,0.00577661,-0.0123945,0.0798576
SUCDi,2,Vmax 2x,flux,0,0.896771,0,0.896771
FUM,2,Vmax 2x,flux,-0.0927728,0.0184541,0.0184541,0.111227
MDH,2,Vmax 2x,flux,-0.0956767,0.0155502,0.0155502,0.111227
ME2,2,Vmax 2x,flux,0,0.00290389,0.00290389,0.00290389
