module,module_scale,fort_background,final_biomass_gDW_L,delta_biomass_gDW_L,final_formate_mM,final_co2_mM,cumulative_biomass_production_gDW_L,cumulative_formate_consumed_mM_gDW_h_proxy,cumulative_fdh_flux_mM_gDW_h_proxy,cumulative_rubisco_total_flux_mM_gDW_h_proxy,cumulative_rbpcx_flux_mM_gDW_h_proxy,cumulative_cs_flux_mM_gDW_h_proxy,cumulative_icdhyr_flux_mM_gDW_h_proxy,external_co2_uptake_blocked,scaled_reactions,baseline_final_biomass_gDW_L,baseline_cumulative_rubisco_total,baseline_cumulative_rbpcx,baseline_cumulative_cs,baseline_cumulative_icdhyr,relative_final_biomass,relative_cumulative_rubisco_total_flux,relative_cumulative_rbpcx_flux,relative_cumulative_cs_flux,relative_cumulative_icdhyr_flux
Cyclic electron flow,0.05,1.0,0.44424569497654515,0.42424569497654513,0.0,10.655533284926408,0.42424569497654513,19.33789022155494,19.218133916662616,9.05496121091488,0.0,0.21994242877890263,0.2199424287789027,True,,0.4520695126960052,9.03871410972794,0.0,0.22399854411935372,0.22399854411935372,0.9826933303402806,1.001797501391205,,0.981892224539237,0.9818922245392372
Cyclic electron flow,0.1,1.0,0.45206951269591755,0.43206951269591753,0.0,10.650371799932795,0.43206951269591753,19.306221575297,19.184256758895145,9.038714109728627,0.0,0.22399854411937187,0.22399854411937187,True,,0.4520695126960052,9.03871410972794,0.0,0.22399854411935372,0.22399854411935372,0.9999999999998062,1.0000000000000762,,1.000000000000081,1.000000000000081
Cyclic electron flow,0.2,1.0,0.45206951269592033,0.4320695126959203,0.0,10.650371799932808,0.4320695126959203,19.30622157529686,19.184256758895057,9.038714109728566,0.0,0.22399854411937323,0.22399854411937323,True,,0.4520695126960052,9.03871410972794,0.0,0.22399854411935372,0.22399854411935372,0.9999999999998123,1.0000000000000693,,1.000000000000087,1.000000000000087
Cyclic electron flow,0.5,1.0,0.45206951269595597,0.43206951269595595,0.0,10.650371799932637,0.43206951269595595,19.306221575297045,19.18425675889519,9.038714109728708,0.0,0.22399854411939168,0.22399854411939168,True,,0.4520695126960052,9.03871410972794,0.0,0.22399854411935372,0.22399854411935372,0.9999999999998911,1.000000000000085,,1.0000000000001694,1.0000000000001694
Cyclic electron flow,1.0,1.0,0.4520695126960052,0.4320695126960052,0.0,10.650371799932056,0.4320695126960052,19.30622157529527,19.184256758893703,9.03871410972794,0.0,0.22399854411935372,0.22399854411935372,True,,0.4520695126960052,9.03871410972794,0.0,0.22399854411935372,0.22399854411935372,1.0,1.0,,1.0,1.0
Photon uptake,0.01,1.0,0.1429229629442937,0.12292296294429371,6.1532244807152,11.198974624371253,0.12292296294429379,13.580546495167674,13.545847734513343,2.571497147858657,0.0,0.06372716410042008,0.06372716410042008,True,,0.45206951269595236,9.038714109728733,0.0,0.2239985441193894,0.22399854411938938,0.3161526246084619,0.2844981173915934,,0.2844981173915756,0.28449811739157566
Photon uptake,0.05,1.0,0.15374799500405184,0.13374799500405185,5.474545591159721,11.642421352608674,0.13374799500405188,14.236009450842943,14.19825499426721,2.797952306442508,0.0,0.06933920417772556,0.06933920417772556,True,,0.45206951269595236,9.038714109728733,0.0,0.2239985441193894,0.22399854411938938,0.3400981280227536,0.3095520305737913,,0.3095520305737716,0.3095520305737716
Photon uptake,0.1,1.0,0.1928332811255884,0.1728332811255884,3.127770207422427,13.138491860759508,0.17283328112558838,16.499725503488317,16.450938031146006,3.615600200516842,0.0,0.08960225660437275,0.08960225660437275,True,,0.45206951269595236,9.038714109728733,0.0,0.2239985441193894,0.22399854411938938,0.42655670358218106,0.40001267399587576,,0.4000126739958429,0.40001267399584295
Photon uptake,0.2,1.0,0.31258141324090866,0.29258141324090864,0.0,13.743977630340748,0.2925814132409087,19.506009783741753,19.423419743713588,6.120681210771007,0.0,0.15168348767175374,0.15168348767175374,True,,0.45206951269595236,9.038714109728733,0.0,0.2239985441193894,0.22399854411938938,0.691445462395384,0.6771628283035382,,0.6771628283035075,0.6771628283035076
Photon uptake,0.5,1.0,0.45206951269592793,0.4320695126959279,0.0,10.650371799932715,0.4320695126959279,19.306221575297,19.184256758895142,9.038714109728668,0.0,0.2239985441193768,0.2239985441193768,True,,0.45206951269595236,9.038714109728733,0.0,0.2239985441193894,0.22399854411938938,0.9999999999999459,0.9999999999999928,,0.9999999999999437,0.9999999999999438
Photon uptake,1.0,1.0,0.45206951269595236,0.43206951269595234,0.0,10.650371799932515,0.43206951269595234,19.306221575296934,19.1842567588951,9.038714109728733,0.0,0.2239985441193894,0.22399854411938938,True,,0.45206951269595236,9.038714109728733,0.0,0.2239985441193894,0.22399854411938938,1.0,1.0,,1.0,1.0
